language_id,repository_id
1,github-168152007
3,github-168152007
2,github-168152007
1,github-174738528
4,github-390373065
2,github-390373065
6,github-390373065
5,github-390373065
1,github-390373065
7,github-390373065
9,github-390373065
8,github-390373065
10,github-390373065
11,github-390373065
12,github-390373065
13,github-390373065
1,github-659829229
14,github-659829229
16,github-659829229
17,github-659829229
15,github-659829229
2,github-659829229
18,github-659829229
13,github-659829229
19,github-659829229
20,github-659829229
21,github-659829229
11,github-659829229
22,github-659829229
